GEOID,totalUnits,occupiedUnits,vacantUnits,whiteHouseholds,renterOccupied,vacancyShare,whiteShare,renterShare,name
060750178011,912,864,48,164,846,0.05263157894736842,0.18981481481481483,0.9791666666666666,"Block Group 1,  Census Tract 178.01"
060750178012,1567,1334,233,483,989,0.14869176770899808,0.3620689655172414,0.7413793103448276,"Block Group 2,  Census Tract 178.01"
060750180001,1124,1048,76,667,628,0.06761565836298933,0.6364503816793893,0.5992366412213741,"Block Group 1,  Census Tract 180"
060750201002,639,553,86,334,498,0.13458528951486698,0.6039783001808319,0.9005424954792043,"Block Group 2,  Census Tract 201"
060750202002,1325,1267,58,837,1049,0.04377358490566038,0.6606156274664562,0.8279400157853196,"Block Group 2,  Census Tract 202"
060750203002,344,319,25,243,198,0.07267441860465117,0.7617554858934169,0.6206896551724138,"Block Group 2,  Census Tract 203"
060750204013,699,652,47,552,349,0.06723891273247497,0.8466257668711656,0.5352760736196319,"Block Group 3,  Census Tract 204.01"
060750205001,426,406,20,329,275,0.046948356807511735,0.8103448275862069,0.6773399014778325,"Block Group 1,  Census Tract 205"
060750206003,506,457,49,392,202,0.09683794466403162,0.8577680525164114,0.4420131291028446,"Block Group 3,  Census Tract 206"
060750208002,677,650,27,388,504,0.03988183161004431,0.5969230769230769,0.7753846153846153,"Block Group 2,  Census Tract 208"
060750209001,697,665,32,404,583,0.04591104734576758,0.6075187969924812,0.8766917293233083,"Block Group 1,  Census Tract 209"
060750210001,500,466,34,366,370,0.068,0.7854077253218884,0.7939914163090128,"Block Group 1,  Census Tract 210"
060750211001,601,541,60,462,275,0.09983361064891846,0.8539741219963032,0.5083179297597042,"Block Group 1,  Census Tract 211"
060750212001,488,455,33,403,220,0.06762295081967214,0.8857142857142857,0.4835164835164835,"Block Group 1,  Census Tract 212"
060750213001,551,508,43,435,267,0.0780399274047187,0.8562992125984252,0.5255905511811023,"Block Group 1,  Census Tract 213"
060750214003,618,566,52,454,327,0.08414239482200647,0.8021201413427562,0.5777385159010601,"Block Group 3,  Census Tract 214"
060750215003,440,419,21,334,274,0.04772727272727273,0.7971360381861575,0.6539379474940334,"Block Group 3,  Census Tract 215"
060750217002,476,464,12,355,134,0.025210084033613446,0.7650862068965517,0.28879310344827586,"Block Group 2,  Census Tract 217"
060750218001,577,536,41,441,249,0.07105719237435008,0.8227611940298507,0.46455223880597013,"Block Group 1,  Census Tract 218"
060750226002,592,483,109,373,214,0.18412162162162163,0.772256728778468,0.44306418219461696,"Block Group 2,  Census Tract 226"
060750227021,537,500,37,413,355,0.06890130353817504,0.826,0.71,"Block Group 1,  Census Tract 227.02"
060750228012,745,691,54,459,398,0.07248322147651007,0.6642547033285094,0.5759768451519537,"Block Group 2,  Census Tract 228.01"
060750228032,444,415,29,279,233,0.06531531531531531,0.672289156626506,0.5614457831325301,"Block Group 2,  Census Tract 228.03"
060750229013,342,327,15,193,278,0.043859649122807015,0.5902140672782875,0.8501529051987767,"Block Group 3,  Census Tract 229.01"
060750229032,350,332,18,209,213,0.05142857142857143,0.6295180722891566,0.641566265060241,"Block Group 2,  Census Tract 229.03"
060750230012,363,345,18,47,92,0.049586776859504134,0.13623188405797101,0.26666666666666666,"Block Group 2,  Census Tract 230.01"
060750231021,760,736,24,67,459,0.031578947368421054,0.09103260869565218,0.623641304347826,"Block Group 1,  Census Tract 231.02"
060750231022,512,486,26,36,346,0.05078125,0.07407407407407407,0.7119341563786008,"Block Group 2,  Census Tract 231.02"
060750231031,428,398,30,14,351,0.07009345794392523,0.035175879396984924,0.8819095477386935,"Block Group 1,  Census Tract 231.03"
060750231032,873,804,69,59,731,0.07903780068728522,0.07338308457711443,0.9092039800995025,"Block Group 2,  Census Tract 231.03"
060750232001,436,406,30,44,158,0.06880733944954129,0.10837438423645321,0.3891625615763547,"Block Group 1,  Census Tract 232"
060750234001,455,414,41,44,211,0.09010989010989011,0.10628019323671498,0.5096618357487923,"Block Group 1,  Census Tract 234"
060750252001,535,495,40,323,324,0.07476635514018691,0.6525252525252525,0.6545454545454545,"Block Group 1,  Census Tract 252"
060750253001,479,457,22,375,163,0.04592901878914405,0.8205689277899344,0.35667396061269147,"Block Group 1,  Census Tract 253"
060750254011,547,519,28,296,351,0.051188299817184646,0.5703275529865125,0.6763005780346821,"Block Group 1,  Census Tract 254.01"
060750254021,392,374,18,245,94,0.04591836734693878,0.6550802139037433,0.25133689839572193,"Block Group 1,  Census Tract 254.02"
060750255001,447,420,27,203,213,0.06040268456375839,0.48333333333333334,0.5071428571428571,"Block Group 1,  Census Tract 255"
