GEOID,POIID,transitTime1,transitTime2,transitTime3,transitTime4,transitTime5,straightLineMiles,mph1,mph2,mph3,mph4,mph5
060750255004,3,48,47,50,132,46,3.987489988967782,4.9843624862097275,5.090412751873764,4.7849879867613385,1.8124954495308099,5.201073898653628
060750255004,4,36,36,37,76,36,2.442284074135027,4.070473456891712,4.070473456891712,3.960460660759503,1.928119005896074,4.070473456891712
060750255004,5,49,46,50,104,45,3.1564452310935813,3.8650349768492833,4.117102475339454,3.7877342773122975,1.8210260948616814,4.208593641458108
060750255004,6,40,38,39,159,37,5.4034893153605115,8.105233973040768,8.531825234779756,8.313060485170018,2.0390525718341554,8.762415105990017
060750256002,1,39,38,36,148,38,4.720916744233523,7.262948837282343,7.454079069842405,7.868194573722538,1.9138851665811578,7.454079069842405
060750256002,2,66,69,66,178,69,5.431224327389565,4.93747666126324,4.722803762947448,4.93747666126324,1.8307497732773812,4.722803762947448
060750256002,3,50,43,48,106,44,3.2276447914427604,3.873173749731312,4.503690406664317,4.03455598930345,1.8269687498732607,4.401333806512856
060750256002,4,42,40,41,70,40,2.26880438303427,3.2411491186203856,3.403206574551405,3.320201536147712,1.9446894711722311,3.403206574551405
060750256002,5,53,47,52,109,45,3.334078206246314,3.7744281580146954,4.25627005052721,3.847013314899593,1.8352724071080628,4.445437608328419
060750256002,6,44,43,41,153,43,4.86848374711899,6.638841473344078,6.79323313551487,7.124610361637546,1.9092093125956826,6.79323313551487
060750257013,1,40,40,37,148,40,4.536938388691915,6.805407583037873,6.805407583037873,7.35719738706797,1.8392993467669925,6.805407583037873
060750257013,2,67,71,68,186,71,5.717338694222488,5.1200048007962575,4.831553826103511,5.044710612549254,1.8443028045878993,4.831553826103511
060750257013,3,49,42,47,96,42,2.9638086344261003,3.6291534299095107,4.234012334894429,3.7835854907567237,1.8523803965163126,4.234012334894429
060750257013,4,45,42,42,78,42,2.267706105369522,3.023608140492696,3.239580150527889,3.239580150527889,1.7443893118227092,3.239580150527889
060750257013,5,56,49,53,117,47,3.4206027339832445,3.6649315006963334,4.188493143652953,3.8723804535659374,1.7541552481965357,4.366726894446695
060750257013,6,45,45,42,149,44,4.676179222395885,6.2349056298611805,6.2349056298611805,6.680256031994122,1.883025190226531,6.376608030539844
060750257023,1,48,42,42,152,41,4.710825022070922,5.888531277588652,6.729750031529889,6.729750031529889,1.8595361929227323,6.893890276201349
060750257023,2,75,79,66,195,78,5.952373343381447,4.761898674705158,4.5207898810492,5.411248493983134,1.8314994902712145,4.578748725678036
060750257023,3,49,45,48,97,45,3.079588927863187,3.7709252177916577,4.1061185704842496,3.8494861598289836,1.9049003677504248,4.1061185704842496
060750257023,4,52,52,52,87,52,2.5256225624890143,2.9141798797950162,2.9141798797950162,2.9141798797950162,1.7418086637855272,2.9141798797950162
060750257023,5,59,59,61,127,58,3.689471445079382,3.7520048594027613,3.7520048594027613,3.628988306635458,1.7430573756280545,3.8166945983579814
060750257023,6,53,47,47,152,45,4.844105413008034,5.483892920386453,6.183964357031533,6.183964357031533,1.912146873555803,6.458807217344045
060750259001,1,44,43,43,157,42,4.846255488804074,6.608530212005555,6.762216961121964,6.762216961121964,1.8520721613263977,6.923222126862963
060750259001,2,71,77,66,187,76,5.687452373993167,4.806297780839295,4.431781070644026,5.1704112490846965,1.8248510290887165,4.4900939794682895
060750259001,3,53,52,50,106,51,3.283956594253329,3.717686710475467,3.789180685676918,3.9407479131039946,1.8588433552377335,3.863478346180387
060750259001,4,49,51,49,79,51,2.4920610497378477,3.0515033262096094,2.93183652910335,3.0515033262096094,1.8927045947376058,2.93183652910335
060750259001,5,58,58,60,118,57,3.5883794136429055,3.7121166348030057,3.7121166348030057,3.5883794136429055,1.824599701852325,3.777241488045164
060750259001,6,49,48,48,161,47,4.987626095906467,6.107297260293634,6.234532619883084,6.234532619883084,1.8587426444371928,6.367182250093363
060750260012,1,31,32,33,157,32,5.378534060001251,10.410065922583065,10.084751362502347,9.77915283636591,2.055490723567357,10.084751362502347
060750260012,2,62,62,63,159,61,4.810373947109906,4.655200593977328,4.655200593977328,4.581308521057053,1.8152354517395874,4.731515357813023
060750260012,3,44,44,49,135,43,4.057477181629265,5.532923429494453,5.532923429494453,4.968339406076651,1.8033231918352288,5.661596067389672
060750260012,4,35,38,36,79,36,2.6337609141777323,4.515018710018969,4.158569864491157,4.389601523629554,2.000324744945113,4.389601523629554
060750260012,5,47,49,51,113,47,3.402749592474697,4.343935649967698,4.1666321540506495,4.003234814676114,1.8067696951193082,4.343935649967698
060750260012,6,36,37,38,162,37,5.541165480083209,9.235275800138682,8.985673751486285,8.749208652762961,2.0522835111419293,8.985673751486285
060750260031,1,37,41,37,160,41,5.312363060750041,8.614642801216283,7.77418984500006,8.614642801216283,1.9921361477812654,7.77418984500006
060750260031,2,66,64,66,169,63,5.108448093699106,4.644043721544642,4.789170087842912,4.644043721544642,1.8136502107807477,4.865188660665815
060750260031,3,51,51,54,128,51,3.9088579278949385,4.598656385758751,4.598656385758751,4.34317547543882,1.8322771537007525,4.598656385758751
060750260031,4,41,45,41,81,44,2.6576501488757938,3.8892441203060395,3.5435335318343917,3.8892441203060395,1.9686297399079953,3.624068384830628
060750260031,5,55,56,55,117,55,3.529103005633691,3.8499305516003903,3.781181791750383,3.8499305516003903,1.8097964131454827,3.8499305516003903
060750260031,6,42,46,42,165,46,5.469026683141315,7.81289526163045,7.133513064966931,7.81289526163045,1.9887369756877507,7.133513064966931
060750260042,1,37,38,38,168,38,5.712217995932619,9.263056209620462,9.019291572525189,9.019291572525189,2.040077855690221,9.019291572525189
060750260042,2,66,66,66,164,66,4.9719909457612035,4.519991768873821,4.519991768873821,4.519991768873821,1.8190210777175135,4.519991768873821
060750260042,3,55,53,54,141,51,4.350475862479055,4.745973668158969,4.925067014127232,4.833862069421172,1.851266324459172,5.118206897034182
060750260042,4,41,45,43,89,42,2.9836456161941896,4.366310657845156,3.978194154925586,4.163226441201195,2.0114464828275436,4.262350880277414
060750260042,5,55,55,56,125,54,3.74060676003211,4.080661920035029,4.080661920035029,4.00779295717726,1.7954912448154126,4.156229733369011
060750260042,6,42,43,43,173,43,5.872855531251833,8.389793616074048,8.194682136630465,8.194682136630465,2.036828507948613,8.194682136630465
060750261004,1,27,28,27,173,28,5.65168149087354,12.559292201941199,12.110746051871871,12.559292201941199,1.9601207482798404,12.110746051871871
060750261004,2,64,63,64,145,62,4.344018404763285,4.07251725446558,4.137160385488843,4.07251725446558,1.7975248571434286,4.2038887788031785
060750261004,3,42,42,43,150,41,4.460634466092307,6.372334951560439,6.372334951560439,6.224141115477638,1.7842537864369228,6.527757755257034
060750261004,4,35,35,35,92,35,2.8030154108208722,4.805169275692924,4.805169275692924,4.805169275692924,1.828053528796221,4.805169275692924
060750261004,5,44,44,44,113,43,3.36389067797293,4.587123651781268,4.587123651781268,4.587123651781268,1.7861366431714671,4.693800946008739
060750261004,6,32,33,32,178,33,5.822550285662732,10.917281785617623,10.586455064841331,10.917281785617623,1.962657399661595,10.586455064841331
